date,indicator,value,entity
2021-02-15,Weekly new hospital admissions,2209.0,United Kingdom
2021-02-16,Weekly new hospital admissions,2209.0,United Kingdom
2021-02-17,Weekly new hospital admissions,1909.0,United Kingdom
2021-02-18,Weekly new hospital admissions,1909.0,United Kingdom
2021-02-19,Weekly new hospital admissions,1909.0,United Kingdom
2021-02-20,Weekly new hospital admissions,1909.0,United Kingdom
2021-02-21,Weekly new hospital admissions,1909.0,United Kingdom
2021-02-22,Weekly new hospital admissions,1909.0,United Kingdom
2021-02-23,Weekly new hospital admissions,1909.0,United Kingdom
2021-02-24,Weekly new hospital admissions,1436.0,United Kingdom
2021-02-25,Weekly new hospital admissions,1436.0,United Kingdom
2021-02-26,Weekly new hospital admissions,1436.0,United Kingdom
2021-02-27,Weekly new hospital admissions,1436.0,United Kingdom
2021-02-28,Weekly new hospital admissions,1436.0,United Kingdom
2021-03-01,Weekly new hospital admissions,1436.0,United Kingdom
2021-03-02,Weekly new hospital admissions,1436.0,United Kingdom
2021-03-03,Weekly new hospital admissions,1053.0,United Kingdom
2021-03-04,Weekly new hospital admissions,1053.0,United Kingdom
2021-03-05,Weekly new hospital admissions,1053.0,United Kingdom
2021-03-06,Weekly new hospital admissions,1053.0,United Kingdom
2021-03-07,Weekly new hospital admissions,1053.0,United Kingdom
2021-03-08,Weekly new hospital admissions,1053.0,United Kingdom
2021-03-09,Weekly new hospital admissions,1053.0,United Kingdom
2021-03-10,Weekly new hospital admissions,844.0,United Kingdom
2021-03-11,Weekly new hospital admissions,844.0,United Kingdom
2021-03-12,Weekly new hospital admissions,844.0,United Kingdom
2021-03-13,Weekly new hospital admissions,844.0,United Kingdom
2021-03-14,Weekly new hospital admissions,844.0,United Kingdom
2021-03-15,Weekly new hospital admissions,844.0,United Kingdom
2021-03-16,Weekly new hospital admissions,844.0,United Kingdom
2021-03-17,Weekly new hospital admissions,670.0,United Kingdom
2021-03-18,Weekly new hospital admissions,670.0,United Kingdom
2021-03-19,Weekly new hospital admissions,670.0,United Kingdom
2021-03-20,Weekly new hospital admissions,670.0,United Kingdom
2021-03-21,Weekly new hospital admissions,670.0,United Kingdom
2021-03-22,Weekly new hospital admissions,670.0,United Kingdom
2021-03-23,Weekly new hospital admissions,670.0,United Kingdom
2021-03-24,Weekly new hospital admissions,627.0,United Kingdom
2021-03-25,Weekly new hospital admissions,627.0,United Kingdom
2021-03-26,Weekly new hospital admissions,627.0,United Kingdom
2021-03-27,Weekly new hospital admissions,627.0,United Kingdom
2021-03-28,Weekly new hospital admissions,627.0,United Kingdom
2021-03-29,Weekly new hospital admissions,627.0,United Kingdom
2021-03-30,Weekly new hospital admissions,627.0,United Kingdom
2021-03-31,Weekly new hospital admissions,383.0,United Kingdom
2021-04-01,Weekly new hospital admissions,383.0,United Kingdom
2021-04-02,Weekly new hospital admissions,383.0,United Kingdom
2021-04-03,Weekly new hospital admissions,383.0,United Kingdom
2021-04-04,Weekly new hospital admissions,383.0,United Kingdom
2021-04-05,Weekly new hospital admissions,383.0,United Kingdom
2021-04-06,Weekly new hospital admissions,383.0,United Kingdom
2021-04-07,Weekly new hospital admissions,358.0,United Kingdom
2021-04-08,Weekly new hospital admissions,358.0,United Kingdom
2021-04-09,Weekly new hospital admissions,358.0,United Kingdom
2021-04-10,Weekly new hospital admissions,358.0,United Kingdom
2021-04-11,Weekly new hospital admissions,358.0,United Kingdom
2021-04-12,Weekly new hospital admissions,358.0,United Kingdom
2021-04-13,Weekly new hospital admissions,358.0,United Kingdom
2021-04-14,Weekly new hospital admissions,284.0,United Kingdom
2021-04-15,Weekly new hospital admissions,284.0,United Kingdom
2021-04-16,Weekly new hospital admissions,284.0,United Kingdom
2021-04-17,Weekly new hospital admissions,284.0,United Kingdom
2021-04-18,Weekly new hospital admissions,284.0,United Kingdom
2021-04-19,Weekly new hospital admissions,284.0,United Kingdom
2021-04-20,Weekly new hospital admissions,284.0,United Kingdom
2021-04-21,Weekly new hospital admissions,277.0,United Kingdom
2021-04-22,Weekly new hospital admissions,277.0,United Kingdom
2021-04-23,Weekly new hospital admissions,277.0,United Kingdom
2021-04-24,Weekly new hospital admissions,277.0,United Kingdom
2021-04-25,Weekly new hospital admissions,277.0,United Kingdom
2021-04-26,Weekly new hospital admissions,277.0,United Kingdom
2021-04-27,Weekly new hospital admissions,277.0,United Kingdom
2021-04-28,Weekly new hospital admissions,196.0,United Kingdom
2021-04-29,Weekly new hospital admissions,196.0,United Kingdom
2021-04-30,Weekly new hospital admissions,196.0,United Kingdom
2021-05-01,Weekly new hospital admissions,196.0,United Kingdom
2021-05-02,Weekly new hospital admissions,196.0,United Kingdom
2021-05-03,Weekly new hospital admissions,196.0,United Kingdom
2021-05-04,Weekly new hospital admissions,196.0,United Kingdom
2021-05-05,Weekly new hospital admissions,209.0,United Kingdom
2021-05-06,Weekly new hospital admissions,209.0,United Kingdom
2021-05-07,Weekly new hospital admissions,209.0,United Kingdom
2021-05-08,Weekly new hospital admissions,209.0,United Kingdom
2021-05-09,Weekly new hospital admissions,209.0,United Kingdom
2021-05-10,Weekly new hospital admissions,209.0,United Kingdom
2021-05-11,Weekly new hospital admissions,209.0,United Kingdom
2021-05-12,Weekly new hospital admissions,208.0,United Kingdom
2021-05-13,Weekly new hospital admissions,208.0,United Kingdom
2021-05-14,Weekly new hospital admissions,208.0,United Kingdom
2021-05-15,Weekly new hospital admissions,208.0,United Kingdom
2021-05-16,Weekly new hospital admissions,208.0,United Kingdom
2021-05-17,Weekly new hospital admissions,208.0,United Kingdom
2021-05-18,Weekly new hospital admissions,208.0,United Kingdom
2021-05-19,Weekly new hospital admissions,203.0,United Kingdom
2021-05-20,Weekly new hospital admissions,203.0,United Kingdom
2021-05-21,Weekly new hospital admissions,203.0,United Kingdom
2021-05-22,Weekly new hospital admissions,203.0,United Kingdom
2021-05-23,Weekly new hospital admissions,203.0,United Kingdom
2021-05-24,Weekly new hospital admissions,203.0,United Kingdom
2021-05-25,Weekly new hospital admissions,203.0,United Kingdom
2021-05-26,Weekly new hospital admissions,244.0,United Kingdom
2021-05-27,Weekly new hospital admissions,244.0,United Kingdom
2021-05-28,Weekly new hospital admissions,244.0,United Kingdom
2021-05-29,Weekly new hospital admissions,244.0,United Kingdom
2021-05-30,Weekly new hospital admissions,244.0,United Kingdom
2021-05-31,Weekly new hospital admissions,244.0,United Kingdom
2021-06-01,Weekly new hospital admissions,244.0,United Kingdom
2021-06-02,Weekly new hospital admissions,208.0,United Kingdom
2021-06-03,Weekly new hospital admissions,208.0,United Kingdom
2021-06-04,Weekly new hospital admissions,208.0,United Kingdom
2021-06-05,Weekly new hospital admissions,208.0,United Kingdom
2021-06-06,Weekly new hospital admissions,208.0,United Kingdom
2021-06-07,Weekly new hospital admissions,208.0,United Kingdom
2021-06-08,Weekly new hospital admissions,208.0,United Kingdom
2021-06-09,Weekly new hospital admissions,241.0,United Kingdom
2021-06-10,Weekly new hospital admissions,241.0,United Kingdom
2021-06-11,Weekly new hospital admissions,241.0,United Kingdom
2021-06-12,Weekly new hospital admissions,241.0,United Kingdom
2021-06-13,Weekly new hospital admissions,241.0,United Kingdom
2021-06-14,Weekly new hospital admissions,241.0,United Kingdom
2021-06-15,Weekly new hospital admissions,241.0,United Kingdom
2021-06-16,Weekly new hospital admissions,273.0,United Kingdom
2021-06-17,Weekly new hospital admissions,273.0,United Kingdom
2021-06-18,Weekly new hospital admissions,273.0,United Kingdom
2021-06-19,Weekly new hospital admissions,273.0,United Kingdom
2021-06-20,Weekly new hospital admissions,273.0,United Kingdom
2021-06-21,Weekly new hospital admissions,273.0,United Kingdom
2021-06-22,Weekly new hospital admissions,273.0,United Kingdom
2021-06-23,Weekly new hospital admissions,325.0,United Kingdom
2021-06-24,Weekly new hospital admissions,325.0,United Kingdom
2021-06-25,Weekly new hospital admissions,325.0,United Kingdom
2021-06-26,Weekly new hospital admissions,325.0,United Kingdom
2021-06-27,Weekly new hospital admissions,325.0,United Kingdom
2021-06-28,Weekly new hospital admissions,325.0,United Kingdom
2021-06-29,Weekly new hospital admissions,325.0,United Kingdom
2021-06-30,Weekly new hospital admissions,447.0,United Kingdom
2021-07-01,Weekly new hospital admissions,447.0,United Kingdom
2021-07-02,Weekly new hospital admissions,447.0,United Kingdom
2021-07-03,Weekly new hospital admissions,447.0,United Kingdom
2021-07-04,Weekly new hospital admissions,447.0,United Kingdom
2021-07-05,Weekly new hospital admissions,447.0,United Kingdom
2021-07-06,Weekly new hospital admissions,447.0,United Kingdom
2021-07-07,Weekly new hospital admissions,609.0,United Kingdom
2021-07-08,Weekly new hospital admissions,609.0,United Kingdom
2021-07-09,Weekly new hospital admissions,609.0,United Kingdom
2021-07-10,Weekly new hospital admissions,609.0,United Kingdom
2021-07-11,Weekly new hospital admissions,609.0,United Kingdom
2021-07-12,Weekly new hospital admissions,609.0,United Kingdom
2021-07-13,Weekly new hospital admissions,609.0,United Kingdom
2021-07-14,Weekly new hospital admissions,802.0,United Kingdom
2021-07-15,Weekly new hospital admissions,802.0,United Kingdom
2021-07-16,Weekly new hospital admissions,802.0,United Kingdom
2021-07-17,Weekly new hospital admissions,802.0,United Kingdom
2021-07-18,Weekly new hospital admissions,802.0,United Kingdom
2021-07-19,Weekly new hospital admissions,802.0,United Kingdom
2021-07-20,Weekly new hospital admissions,802.0,United Kingdom
2021-07-21,Weekly new hospital admissions,1024.0,United Kingdom
2021-07-22,Weekly new hospital admissions,1024.0,United Kingdom
2021-07-23,Weekly new hospital admissions,1024.0,United Kingdom
2021-07-24,Weekly new hospital admissions,1024.0,United Kingdom
2021-07-25,Weekly new hospital admissions,1024.0,United Kingdom
2021-07-26,Weekly new hospital admissions,1024.0,United Kingdom
2021-07-27,Weekly new hospital admissions,1024.0,United Kingdom
2021-07-28,Weekly new hospital admissions,957.0,United Kingdom
2021-07-29,Weekly new hospital admissions,957.0,United Kingdom
2021-07-30,Weekly new hospital admissions,957.0,United Kingdom
2021-07-31,Weekly new hospital admissions,957.0,United Kingdom
2021-08-01,Weekly new hospital admissions,957.0,United Kingdom
2021-08-02,Weekly new hospital admissions,957.0,United Kingdom
2021-08-03,Weekly new hospital admissions,957.0,United Kingdom
2021-08-04,Weekly new hospital admissions,915.0,United Kingdom
2021-08-05,Weekly new hospital admissions,915.0,United Kingdom
2021-08-06,Weekly new hospital admissions,915.0,United Kingdom
2021-08-07,Weekly new hospital admissions,915.0,United Kingdom
2021-08-08,Weekly new hospital admissions,915.0,United Kingdom
2021-08-09,Weekly new hospital admissions,915.0,United Kingdom
2021-08-10,Weekly new hospital admissions,915.0,United Kingdom
2021-08-11,Weekly new hospital admissions,931.0,United Kingdom
2021-08-12,Weekly new hospital admissions,931.0,United Kingdom
2021-08-13,Weekly new hospital admissions,931.0,United Kingdom
2021-08-14,Weekly new hospital admissions,931.0,United Kingdom
2021-08-15,Weekly new hospital admissions,931.0,United Kingdom
2021-08-16,Weekly new hospital admissions,931.0,United Kingdom
2021-08-17,Weekly new hospital admissions,931.0,United Kingdom
2021-08-18,Weekly new hospital admissions,1005.0,United Kingdom
2021-08-19,Weekly new hospital admissions,1005.0,United Kingdom
2021-08-20,Weekly new hospital admissions,1005.0,United Kingdom
2021-08-21,Weekly new hospital admissions,1005.0,United Kingdom
2021-08-22,Weekly new hospital admissions,1005.0,United Kingdom
2021-08-23,Weekly new hospital admissions,1005.0,United Kingdom
2021-08-24,Weekly new hospital admissions,1005.0,United Kingdom
2021-08-25,Weekly new hospital admissions,1171.0,United Kingdom
2021-08-26,Weekly new hospital admissions,1171.0,United Kingdom
2021-08-27,Weekly new hospital admissions,1171.0,United Kingdom
2021-08-28,Weekly new hospital admissions,1171.0,United Kingdom
2021-08-29,Weekly new hospital admissions,1171.0,United Kingdom
2021-08-30,Weekly new hospital admissions,1171.0,United Kingdom
2021-08-31,Weekly new hospital admissions,1171.0,United Kingdom
2021-09-01,Weekly new hospital admissions,1267.0,United Kingdom
2021-09-02,Weekly new hospital admissions,1267.0,United Kingdom
2021-09-03,Weekly new hospital admissions,1267.0,United Kingdom
2021-09-04,Weekly new hospital admissions,1267.0,United Kingdom
2021-09-05,Weekly new hospital admissions,1267.0,United Kingdom
2021-09-06,Weekly new hospital admissions,1267.0,United Kingdom
2021-09-07,Weekly new hospital admissions,1267.0,United Kingdom
2021-09-08,Weekly new hospital admissions,1404.0,United Kingdom
2021-09-09,Weekly new hospital admissions,1404.0,United Kingdom
2021-09-10,Weekly new hospital admissions,1404.0,United Kingdom
2021-09-11,Weekly new hospital admissions,1404.0,United Kingdom
2021-09-12,Weekly new hospital admissions,1404.0,United Kingdom
2021-09-13,Weekly new hospital admissions,1404.0,United Kingdom
2021-09-14,Weekly new hospital admissions,1404.0,United Kingdom
2021-09-15,Weekly new hospital admissions,1200.0,United Kingdom
2021-09-16,Weekly new hospital admissions,1200.0,United Kingdom
2021-09-17,Weekly new hospital admissions,1200.0,United Kingdom
2021-09-18,Weekly new hospital admissions,1200.0,United Kingdom
2021-09-19,Weekly new hospital admissions,1200.0,United Kingdom
2021-09-20,Weekly new hospital admissions,1200.0,United Kingdom
2021-09-21,Weekly new hospital admissions,1200.0,United Kingdom
2021-09-22,Weekly new hospital admissions,972.0,United Kingdom
2021-09-23,Weekly new hospital admissions,972.0,United Kingdom
2021-09-24,Weekly new hospital admissions,972.0,United Kingdom
2021-09-25,Weekly new hospital admissions,972.0,United Kingdom
2021-09-26,Weekly new hospital admissions,972.0,United Kingdom
2021-09-27,Weekly new hospital admissions,972.0,United Kingdom
2021-09-28,Weekly new hospital admissions,972.0,United Kingdom
2021-09-29,Weekly new hospital admissions,1009.0,United Kingdom
2021-09-30,Weekly new hospital admissions,1009.0,United Kingdom
2021-10-01,Weekly new hospital admissions,1009.0,United Kingdom
2021-10-02,Weekly new hospital admissions,1009.0,United Kingdom
2021-10-03,Weekly new hospital admissions,1009.0,United Kingdom
2021-10-04,Weekly new hospital admissions,1009.0,United Kingdom
2021-10-05,Weekly new hospital admissions,1009.0,United Kingdom
2021-10-06,Weekly new hospital admissions,974.0,United Kingdom
2021-10-07,Weekly new hospital admissions,974.0,United Kingdom
2021-10-08,Weekly new hospital admissions,974.0,United Kingdom
2021-10-09,Weekly new hospital admissions,974.0,United Kingdom
2021-10-10,Weekly new hospital admissions,974.0,United Kingdom
2021-10-11,Weekly new hospital admissions,974.0,United Kingdom
2021-10-12,Weekly new hospital admissions,974.0,United Kingdom
2021-10-13,Weekly new hospital admissions,1141.0,United Kingdom
2021-10-14,Weekly new hospital admissions,1141.0,United Kingdom
2021-10-15,Weekly new hospital admissions,1141.0,United Kingdom
2021-10-16,Weekly new hospital admissions,1141.0,United Kingdom
2021-10-17,Weekly new hospital admissions,1141.0,United Kingdom
2021-10-18,Weekly new hospital admissions,1141.0,United Kingdom
2021-10-19,Weekly new hospital admissions,1141.0,United Kingdom
2021-10-20,Weekly new hospital admissions,1340.0,United Kingdom
2021-10-21,Weekly new hospital admissions,1340.0,United Kingdom
2021-10-22,Weekly new hospital admissions,1340.0,United Kingdom
2021-10-23,Weekly new hospital admissions,1340.0,United Kingdom
2021-10-24,Weekly new hospital admissions,1340.0,United Kingdom
2021-10-25,Weekly new hospital admissions,1340.0,United Kingdom
2021-10-26,Weekly new hospital admissions,1340.0,United Kingdom
2021-10-27,Weekly new hospital admissions,1433.0,United Kingdom
2021-10-28,Weekly new hospital admissions,1433.0,United Kingdom
2021-10-29,Weekly new hospital admissions,1433.0,United Kingdom
2021-10-30,Weekly new hospital admissions,1433.0,United Kingdom
2021-10-31,Weekly new hospital admissions,1433.0,United Kingdom
2021-11-01,Weekly new hospital admissions,1433.0,United Kingdom
2021-11-02,Weekly new hospital admissions,1433.0,United Kingdom
2021-11-03,Weekly new hospital admissions,1243.0,United Kingdom
2021-11-04,Weekly new hospital admissions,1243.0,United Kingdom
2021-11-05,Weekly new hospital admissions,1243.0,United Kingdom
2021-11-06,Weekly new hospital admissions,1243.0,United Kingdom
2021-11-07,Weekly new hospital admissions,1243.0,United Kingdom
2021-11-08,Weekly new hospital admissions,1243.0,United Kingdom
2021-11-09,Weekly new hospital admissions,1243.0,United Kingdom
2021-11-10,Weekly new hospital admissions,1226.0,United Kingdom
2021-11-11,Weekly new hospital admissions,1226.0,United Kingdom
2021-11-12,Weekly new hospital admissions,1226.0,United Kingdom
2021-11-13,Weekly new hospital admissions,1226.0,United Kingdom
2021-11-14,Weekly new hospital admissions,1226.0,United Kingdom
2021-11-15,Weekly new hospital admissions,1226.0,United Kingdom
2021-11-16,Weekly new hospital admissions,1226.0,United Kingdom
2021-11-17,Weekly new hospital admissions,1091.0,United Kingdom
2021-11-18,Weekly new hospital admissions,1091.0,United Kingdom
2021-11-19,Weekly new hospital admissions,1091.0,United Kingdom
2021-11-20,Weekly new hospital admissions,1091.0,United Kingdom
2021-11-21,Weekly new hospital admissions,1091.0,United Kingdom
2021-11-22,Weekly new hospital admissions,1091.0,United Kingdom
2021-11-23,Weekly new hospital admissions,1091.0,United Kingdom
2021-11-24,Weekly new hospital admissions,1099.0,United Kingdom
2021-11-25,Weekly new hospital admissions,1099.0,United Kingdom
2021-11-26,Weekly new hospital admissions,1099.0,United Kingdom
2021-11-27,Weekly new hospital admissions,1099.0,United Kingdom
2021-11-28,Weekly new hospital admissions,1099.0,United Kingdom
2021-11-29,Weekly new hospital admissions,1099.0,United Kingdom
2021-11-30,Weekly new hospital admissions,1099.0,United Kingdom
2021-12-01,Weekly new hospital admissions,988.0,United Kingdom
2021-12-02,Weekly new hospital admissions,988.0,United Kingdom
2021-12-03,Weekly new hospital admissions,988.0,United Kingdom
2021-12-04,Weekly new hospital admissions,988.0,United Kingdom
2021-12-05,Weekly new hospital admissions,988.0,United Kingdom
2021-12-06,Weekly new hospital admissions,988.0,United Kingdom
2021-12-07,Weekly new hospital admissions,988.0,United Kingdom
2021-12-08,Weekly new hospital admissions,1024.0,United Kingdom
2021-12-09,Weekly new hospital admissions,1024.0,United Kingdom
2021-12-10,Weekly new hospital admissions,1024.0,United Kingdom
2021-12-11,Weekly new hospital admissions,1024.0,United Kingdom
2021-12-12,Weekly new hospital admissions,1024.0,United Kingdom
2021-12-13,Weekly new hospital admissions,1024.0,United Kingdom
2021-12-14,Weekly new hospital admissions,1024.0,United Kingdom
2021-12-15,Weekly new hospital admissions,1101.0,United Kingdom
2021-12-16,Weekly new hospital admissions,1101.0,United Kingdom
2021-12-17,Weekly new hospital admissions,1101.0,United Kingdom
2021-12-18,Weekly new hospital admissions,1101.0,United Kingdom
2021-12-19,Weekly new hospital admissions,1101.0,United Kingdom
2021-12-20,Weekly new hospital admissions,1101.0,United Kingdom
2021-12-21,Weekly new hospital admissions,1101.0,United Kingdom
2021-12-22,Weekly new hospital admissions,1559.0,United Kingdom
2021-12-23,Weekly new hospital admissions,1559.0,United Kingdom
2021-12-24,Weekly new hospital admissions,1559.0,United Kingdom
2021-12-25,Weekly new hospital admissions,1559.0,United Kingdom
2021-12-26,Weekly new hospital admissions,1559.0,United Kingdom
2021-12-27,Weekly new hospital admissions,1559.0,United Kingdom
2021-12-28,Weekly new hospital admissions,1559.0,United Kingdom
2021-12-29,Weekly new hospital admissions,2806.0,United Kingdom
2021-12-30,Weekly new hospital admissions,2806.0,United Kingdom
2021-12-31,Weekly new hospital admissions,2806.0,United Kingdom
2022-01-01,Weekly new hospital admissions,2806.0,United Kingdom
2022-01-02,Weekly new hospital admissions,2806.0,United Kingdom
2022-01-03,Weekly new hospital admissions,2806.0,United Kingdom
2022-01-04,Weekly new hospital admissions,2806.0,United Kingdom
2022-01-05,Weekly new hospital admissions,2729.0,United Kingdom
2022-01-06,Weekly new hospital admissions,2729.0,United Kingdom
2022-01-07,Weekly new hospital admissions,2729.0,United Kingdom
2022-01-08,Weekly new hospital admissions,2729.0,United Kingdom
2022-01-09,Weekly new hospital admissions,2729.0,United Kingdom
2022-01-10,Weekly new hospital admissions,2729.0,United Kingdom
2022-01-11,Weekly new hospital admissions,2729.0,United Kingdom
2022-01-12,Weekly new hospital admissions,2482.0,United Kingdom
2022-01-13,Weekly new hospital admissions,2482.0,United Kingdom
2022-01-14,Weekly new hospital admissions,2482.0,United Kingdom
2022-01-15,Weekly new hospital admissions,2482.0,United Kingdom
2022-01-16,Weekly new hospital admissions,2482.0,United Kingdom
2022-01-17,Weekly new hospital admissions,2482.0,United Kingdom
2022-01-18,Weekly new hospital admissions,2482.0,United Kingdom
2022-01-19,Weekly new hospital admissions,2228.0,United Kingdom
2022-01-20,Weekly new hospital admissions,2228.0,United Kingdom
2022-01-21,Weekly new hospital admissions,2228.0,United Kingdom
2022-01-22,Weekly new hospital admissions,2228.0,United Kingdom
2022-01-23,Weekly new hospital admissions,2228.0,United Kingdom
2022-01-24,Weekly new hospital admissions,2228.0,United Kingdom
2022-01-25,Weekly new hospital admissions,2228.0,United Kingdom
2022-01-26,Weekly new hospital admissions,2045.0,United Kingdom
2022-01-27,Weekly new hospital admissions,2045.0,United Kingdom
2022-01-28,Weekly new hospital admissions,2045.0,United Kingdom
2022-01-29,Weekly new hospital admissions,2045.0,United Kingdom
2022-01-30,Weekly new hospital admissions,2045.0,United Kingdom
2022-01-31,Weekly new hospital admissions,2045.0,United Kingdom
2022-02-01,Weekly new hospital admissions,2045.0,United Kingdom
2022-02-02,Weekly new hospital admissions,1811.0,United Kingdom
2022-02-03,Weekly new hospital admissions,1811.0,United Kingdom
2022-02-04,Weekly new hospital admissions,1811.0,United Kingdom
2022-02-05,Weekly new hospital admissions,1811.0,United Kingdom
2022-02-06,Weekly new hospital admissions,1811.0,United Kingdom
2022-02-07,Weekly new hospital admissions,1811.0,United Kingdom
2022-02-08,Weekly new hospital admissions,1811.0,United Kingdom
2022-02-09,Weekly new hospital admissions,1578.0,United Kingdom
2022-02-10,Weekly new hospital admissions,1578.0,United Kingdom
2022-02-11,Weekly new hospital admissions,1578.0,United Kingdom
2022-02-12,Weekly new hospital admissions,1578.0,United Kingdom
2022-02-13,Weekly new hospital admissions,1578.0,United Kingdom
2022-02-14,Weekly new hospital admissions,1578.0,United Kingdom
2022-02-15,Weekly new hospital admissions,1578.0,United Kingdom
2022-02-16,Weekly new hospital admissions,1504.0,United Kingdom
2022-02-17,Weekly new hospital admissions,1504.0,United Kingdom
2022-02-18,Weekly new hospital admissions,1504.0,United Kingdom
2022-02-19,Weekly new hospital admissions,1504.0,United Kingdom
2022-02-20,Weekly new hospital admissions,1504.0,United Kingdom
2022-02-21,Weekly new hospital admissions,1504.0,United Kingdom
2022-02-22,Weekly new hospital admissions,1504.0,United Kingdom
2022-02-23,Weekly new hospital admissions,1350.0,United Kingdom
2022-02-24,Weekly new hospital admissions,1350.0,United Kingdom
2022-02-25,Weekly new hospital admissions,1350.0,United Kingdom
2022-02-26,Weekly new hospital admissions,1350.0,United Kingdom
2022-02-27,Weekly new hospital admissions,1350.0,United Kingdom
2022-02-28,Weekly new hospital admissions,1350.0,United Kingdom
2022-03-01,Weekly new hospital admissions,1350.0,United Kingdom
2022-03-02,Weekly new hospital admissions,1567.0,United Kingdom
2022-03-03,Weekly new hospital admissions,1567.0,United Kingdom
2022-03-04,Weekly new hospital admissions,1567.0,United Kingdom
2022-03-05,Weekly new hospital admissions,1567.0,United Kingdom
2022-03-06,Weekly new hospital admissions,1567.0,United Kingdom
2022-03-07,Weekly new hospital admissions,1567.0,United Kingdom
2022-03-08,Weekly new hospital admissions,1567.0,United Kingdom
2022-03-09,Weekly new hospital admissions,1959.0,United Kingdom
2022-03-10,Weekly new hospital admissions,1959.0,United Kingdom
2022-03-11,Weekly new hospital admissions,1959.0,United Kingdom
2022-03-12,Weekly new hospital admissions,1959.0,United Kingdom
2022-03-13,Weekly new hospital admissions,1959.0,United Kingdom
2022-03-14,Weekly new hospital admissions,1959.0,United Kingdom
2022-03-15,Weekly new hospital admissions,1959.0,United Kingdom
2022-03-16,Weekly new hospital admissions,2297.0,United Kingdom
2022-03-17,Weekly new hospital admissions,2297.0,United Kingdom
2022-03-18,Weekly new hospital admissions,2297.0,United Kingdom
2022-03-19,Weekly new hospital admissions,2297.0,United Kingdom
2022-03-20,Weekly new hospital admissions,2297.0,United Kingdom
2022-03-21,Weekly new hospital admissions,2297.0,United Kingdom
2022-03-22,Weekly new hospital admissions,2297.0,United Kingdom
2022-03-23,Weekly new hospital admissions,2700.0,United Kingdom
2022-03-24,Weekly new hospital admissions,2700.0,United Kingdom
2022-03-25,Weekly new hospital admissions,2700.0,United Kingdom
2022-03-26,Weekly new hospital admissions,2700.0,United Kingdom
2022-03-27,Weekly new hospital admissions,2700.0,United Kingdom
2022-03-28,Weekly new hospital admissions,2700.0,United Kingdom
2022-03-29,Weekly new hospital admissions,2700.0,United Kingdom
2022-03-30,Weekly new hospital admissions,2919.0,United Kingdom
2022-03-31,Weekly new hospital admissions,2919.0,United Kingdom
2022-04-01,Weekly new hospital admissions,2919.0,United Kingdom
2022-04-02,Weekly new hospital admissions,2919.0,United Kingdom
2022-04-03,Weekly new hospital admissions,2919.0,United Kingdom
2022-04-04,Weekly new hospital admissions,2919.0,United Kingdom
2022-04-05,Weekly new hospital admissions,2919.0,United Kingdom
2022-04-06,Weekly new hospital admissions,2672.0,United Kingdom
2022-04-07,Weekly new hospital admissions,2672.0,United Kingdom
2022-04-08,Weekly new hospital admissions,2672.0,United Kingdom
2022-04-09,Weekly new hospital admissions,2672.0,United Kingdom
2022-04-10,Weekly new hospital admissions,2672.0,United Kingdom
2022-04-11,Weekly new hospital admissions,2672.0,United Kingdom
2022-04-12,Weekly new hospital admissions,2672.0,United Kingdom
2022-04-13,Weekly new hospital admissions,2335.0,United Kingdom
2022-04-14,Weekly new hospital admissions,2335.0,United Kingdom
2022-04-15,Weekly new hospital admissions,2335.0,United Kingdom
2022-04-16,Weekly new hospital admissions,2335.0,United Kingdom
2022-04-17,Weekly new hospital admissions,2335.0,United Kingdom
2022-04-18,Weekly new hospital admissions,2335.0,United Kingdom
2022-04-19,Weekly new hospital admissions,2335.0,United Kingdom
2022-04-20,Weekly new hospital admissions,1703.0,United Kingdom
2022-04-21,Weekly new hospital admissions,1703.0,United Kingdom
2022-04-22,Weekly new hospital admissions,1703.0,United Kingdom
2022-04-23,Weekly new hospital admissions,1703.0,United Kingdom
2022-04-24,Weekly new hospital admissions,1703.0,United Kingdom
2022-04-25,Weekly new hospital admissions,1703.0,United Kingdom
2022-04-26,Weekly new hospital admissions,1703.0,United Kingdom
2022-04-27,Weekly new hospital admissions,1378.0,United Kingdom
2022-04-28,Weekly new hospital admissions,1378.0,United Kingdom
2022-04-29,Weekly new hospital admissions,1378.0,United Kingdom
2022-04-30,Weekly new hospital admissions,1378.0,United Kingdom
2022-05-01,Weekly new hospital admissions,1378.0,United Kingdom
2022-05-02,Weekly new hospital admissions,1378.0,United Kingdom
2022-05-03,Weekly new hospital admissions,1378.0,United Kingdom
2022-05-04,Weekly new hospital admissions,1132.0,United Kingdom
2022-05-05,Weekly new hospital admissions,1132.0,United Kingdom
2022-05-06,Weekly new hospital admissions,1132.0,United Kingdom
2022-05-07,Weekly new hospital admissions,1132.0,United Kingdom
2022-05-08,Weekly new hospital admissions,1132.0,United Kingdom
2022-05-09,Weekly new hospital admissions,1132.0,United Kingdom
2022-05-10,Weekly new hospital admissions,1132.0,United Kingdom
2022-05-11,Weekly new hospital admissions,877.0,United Kingdom
2022-05-12,Weekly new hospital admissions,877.0,United Kingdom
2022-05-13,Weekly new hospital admissions,877.0,United Kingdom
2022-05-14,Weekly new hospital admissions,877.0,United Kingdom
2022-05-15,Weekly new hospital admissions,877.0,United Kingdom
2022-05-16,Weekly new hospital admissions,877.0,United Kingdom
2022-05-17,Weekly new hospital admissions,877.0,United Kingdom
